"","data_date","unix_timestamp","individuals","extract_date"
"1","2022-02-24",1645660800,10946,2022-06-13
"2","2022-02-25",1645747200,22737,2022-06-13
"3","2022-02-26",1645833600,35130,2022-06-13
"4","2022-02-27",1645920000,46112,2022-06-13
"5","2022-02-28",1646006400,55309,2022-06-13
"6","2022-03-01",1646092800,66222,2022-06-13
"7","2022-03-02",1646179200,76598,2022-06-13
"8","2022-03-03",1646265600,86915,2022-06-13
"9","2022-03-04",1646352000,96389,2022-06-13
"10","2022-03-05",1646438400,107717,2022-06-13
"11","2022-03-06",1646524800,118375,2022-06-13
"12","2022-03-07",1646611200,127511,2022-06-13
"13","2022-03-08",1646697600,137426,2022-06-13
"14","2022-03-09",1646784000,147916,2022-06-13
"15","2022-03-10",1646870400,170333,2022-06-13
"16","2022-03-11",1646956800,182674,2022-06-13
"17","2022-03-12",1647043200,195801,2022-06-13
"18","2022-03-13",1647129600,208232,2022-06-13
"19","2022-03-14",1647216000,217609,2022-06-13
"20","2022-03-15",1647302400,228626,2022-06-13
"21","2022-03-16",1647388800,241091,2022-06-13
"22","2022-03-17",1647475200,254074,2022-06-13
"23","2022-03-18",1647561600,270187,2022-06-13
"24","2022-03-19",1647648000,288874,2022-06-13
"25","2022-03-20",1647734400,305567,2022-06-13
"26","2022-03-21",1647820800,317764,2022-06-13
"27","2022-03-22",1647907200,331134,2022-06-13
"28","2022-03-23",1647993600,344865,2022-06-13
"29","2022-03-24",1648080000,359561,2022-06-13
"30","2022-03-25",1648166400,375764,2022-06-13
"31","2022-03-26",1648252800,395458,2022-06-13
"32","2022-03-27",1648339200,412601,2022-06-13
"33","2022-03-28",1648425600,428238,2022-06-13
"34","2022-03-29",1648512000,444894,2022-06-13
"35","2022-03-30",1648598400,462878,2022-06-13
"36","2022-03-31",1648684800,481670,2022-06-13
"37","2022-04-01",1648771200,501123,2022-06-13
"38","2022-04-02",1648857600,525206,2022-06-13
"39","2022-04-03",1648944000,544379,2022-06-13
"40","2022-04-04",1649030400,561432,2022-06-13
"41","2022-04-05",1649116800,579315,2022-06-13
"42","2022-04-06",1649203200,598357,2022-06-13
"43","2022-04-07",1649289600,615900,2022-06-13
"44","2022-04-08",1649376000,636012,2022-06-13
"45","2022-04-09",1649462400,661561,2022-06-13
"46","2022-04-10",1649548800,684457,2022-06-13
"47","2022-04-11",1649635200,705446,2022-06-13
"48","2022-04-12",1649721600,727286,2022-06-13
"49","2022-04-13",1649808000,751987,2022-06-13
"50","2022-04-14",1649894400,779493,2022-06-13
"51","2022-04-15",1649980800,810266,2022-06-13
"52","2022-04-16",1650067200,843376,2022-06-13
"53","2022-04-17",1650153600,867714,2022-06-13
"54","2022-04-18",1650240000,886269,2022-06-13
"55","2022-04-19",1650326400,910408,2022-06-13
"56","2022-04-20",1650412800,938283,2022-06-13
"57","2022-04-21",1650499200,966944,2022-06-13
"58","2022-04-22",1650585600,996236,2022-06-13
"59","2022-04-23",1650672000,1020962,2022-06-13
"60","2022-04-24",1650758400,1035338,2022-06-13
"61","2022-04-25",1650844800,1049966,2022-06-13
"62","2022-04-26",1650931200,1069431,2022-06-13
"63","2022-04-27",1651017600,1093123,2022-06-13
"64","2022-04-28",1651104000,1118622,2022-06-13
"65","2022-04-29",1651190400,1146179,2022-06-13
"66","2022-04-30",1651276800,1178893,2022-06-13
"67","2022-05-01",1651363200,1206935,2022-06-13
"68","2022-05-02",1651449600,1230011,2022-06-13
"69","2022-05-03",1651536000,1252239,2022-06-13
"70","2022-05-04",1651622400,1275292,2022-06-13
"71","2022-05-05",1651708800,1299941,2022-06-13
"72","2022-05-06",1651795200,1324113,2022-06-13
"73","2022-05-07",1651881600,1349385,2022-06-13
"74","2022-05-08",1651968000,1370399,2022-06-13
"75","2022-05-09",1652054400,1389093,2022-06-13
"76","2022-05-10",1652140800,1416989,2022-06-13
"77","2022-05-11",1652227200,1450496,2022-06-13
"78","2022-05-12",1652313600,1483749,2022-06-13
"79","2022-05-13",1652400000,1521374,2022-06-13
"80","2022-05-14",1652486400,1561833,2022-06-13
"81","2022-05-15",1652572800,1595545,2022-06-13
"82","2022-05-16",1652659200,1628083,2022-06-13
"83","2022-05-17",1652745600,1659960,2022-06-13
"84","2022-05-18",1652832000,1694635,2022-06-13
"85","2022-05-19",1652918400,1728769,2022-06-13
"86","2022-05-20",1653004800,1765343,2022-06-13
"87","2022-05-21",1653091200,1806378,2022-06-13
"88","2022-05-22",1653177600,1845458,2022-06-13
"89","2022-05-23",1653264000,1873121,2022-06-13
"90","2022-05-24",1653350400,1902293,2022-06-13
"91","2022-05-25",1653436800,1931749,2022-06-13
"92","2022-05-26",1653523200,1937641,2022-06-13
"93","2022-05-27",1653609600,1973143,2022-06-13
"94","2022-05-28",1653696000,2011659,2022-06-13
"95","2022-05-29",1653782400,2048163,2022-06-13
"96","2022-05-30",1653868800,2080548,2022-06-13
"97","2022-05-31",1653955200,2114813,2022-06-13
"98","2022-06-01",1654041600,2151312,2022-06-13
"99","2022-06-02",1654128000,2177631,2022-06-13
"100","2022-06-03",1654214400,2209343,2022-06-13
"101","2022-06-04",1654300800,2244939,2022-06-13
"102","2022-06-05",1654387200,2277907,2022-06-13
"103","2022-06-06",1654473600,2307159,2022-06-13
"104","2022-06-07",1654560000,2334466,2022-06-13
"105","2022-06-08",1654646400,2362373,2022-06-13
"106","2022-06-09",1654732800,2387834,2022-06-13
